Symbol,Name,Green%,Sector
AJG,Arthur J. Gallagher & Company,NA,Financials
AMP,Ameriprise Financial Services,NA,Financials
AON,AON Plc,NA,Financials
AXP,American Express Company,NA,Financials
BRK.B,Berkshire Hathaway Cl B,NA,Financials
CB,Chubb Ltd,NA,Financials
CBOE,CBOE Global Markets Inc,NA,Financials
CFG,Citizens Financial Group Inc/Ri,NA,Financials
CMA,Comerica Inc,NA,Financials
CME,CME Group Inc,NA,Financials
FRC,First Republic Bank,NA,Financials
GL,Globe Life Inc,NA,Financials
HBAN,Huntington Bcshs,NA,Financials
ICE,Intercontinental Exchange,NA,Financials
IVZ,Invesco Plc,NA,Financials
KEY,Keycorp,NA,Financials
MCO,Moody's Corp,NA,Financials
MKTX,Marketaxess Holdings,NA,Financials
MSCI,MSCI Inc,NA,Financials
NDAQ,Nasdaq Inc,NA,Financials
PBCT,People's United Finl,NA,Financials
PNC,PNC Bank,NA,Financials
RE,Everest Re Group,NA,Financials
SIVB,Svb Financial Group,NA,Financials
TFC,Truist Financial Corp,NA,Financials
TROW,T Rowe Price Group,NA,Financials
WLTW,Willis Towers WT,NA,Financials
ZION,Zions Bancorp,NA,Financials
ALB,Albemarle Corp,NA,Materials
AMCR,Amcor Plc,NA,Materials
CF,Cf Industries Holdings,NA,Materials
CTVA,Corteva Inc,NA,Materials
FMC,FMC Corp,NA,Materials
IFF,International Flavors & Fragrances,NA,Materials
LIN,Linde Plc,NA,Materials
MLM,Martin Marietta Materials,NA,Materials
VMC,Vulcan Materials Company,NA,Materials
ECL,Ecolab Inc,81.60%,Materials
SEE,Sealed Air Corp,78.00%,Materials
BLL,Ball Corp,67.30%,Materials
MET,Metlife Inc,61.70%,Financials
PPG,PPG Industries,61.50%,Materials
AFL,Aflac Inc,60.80%,Financials
PRU,Prudential Financial Inc,56.50%,Financials
C,Citigroup Inc,53.00%,Financials
DOW,Dow Inc,49.70%,Materials
STT,State Street Corp,49.60%,Financials
GS,Goldman Sachs Group,47.30%,Financials
APD,Air Products and Chemicals,45.00%,Materials
EMN,Eastman Chemical Company,43.90%,Materials
FCX,Freeport-Mcmoran Inc,42.90%,Materials
UNM,Unumprovident Corp,41.60%,Financials
BK,Bank of New York Mellon Corp,39.60%,Financials
LYB,Lyondellbasell Industries NV,39.30%,Materials
IP,International Paper Company,36.80%,Materials
MS,Morgan Stanley,36.50%,Financials
JPM,JP Morgan Chase & Company,35.20%,Financials
LNC,Lincoln National Corp,34.90%,Financials
NEM,Newmont Mining Corp,33.70%,Materials
HIG,Hartford Financial Services Group,32.90%,Financials
AVY,Avery Dennison Corp,31.80%,Materials
WFC,Wells Fargo & Company,30.30%,Financials
PFG,Principal Financial Group Inc,30.00%,Financials
MMC,Marsh & Mclennan Companies,29.70%,Financials
BAC,Bank of America Corp,29.60%,Financials
SPGI,S&P Global Inc,29.50%,Financials
ALL,Allstate Corp,29.20%,Financials
MOS,Mosaic Company,27.70%,Materials
USB,U.S. Bancorp,21.20%,Financials
SHW,Sherwin-Williams Company,19.90%,Materials
MTB,M&T Bank Corp,19.70%,Financials
FITB,Fifth Third Bncp,19.20%,Financials
TRV,The Travelers Companies Inc,18.90%,Financials
NTRS,Northern Trust Corp,17.00%,Financials
DD,Du Pont De.Nemours Inc,16.80%,Materials
L,Loews Corp,14.40%,Financials
AIG,American International Group,13.90%,Financials
COF,Capital One Financial Corp,12.00%,Financials
SCHW,The Charles Schwab Corp,10.50%,Financials
BEN,Franklin Resources,10.00%,Financials
BLK,Blackrock Inc,10.00%,Financials
PGR,Progressive Corp,9.80%,Financials
NUE,Nucor Corp,9.70%,Materials
RF,Regions Financial Corp,5.10%,Financials
CE,Celanese Corp,5.00%,Materials
WRB,W.R. Berkley Corp,4.30%,Financials
AIZ,Assurant Inc,3.90%,Financials
CINF,Cincinnati Financial,3.90%,Financials
PKG,Packaging Corp of America,2.70%,Materials
DFS,Discover Financial Services,0.00%,Financials
RJF,Raymond James Financial,0.00%,Financials
SYF,Synchrony Financial,0.00%,Financials
WRK,Westrock Company,0.00%,Materials
